age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
51, Private,246519, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2105,0,45, United-States, <=50K
56, Private,205735, 1st-4th, Separated, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
46, Private,142828, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K
31, Local-gov,224234, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
29, Private,200468, 10th, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, State-gov,142621, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,4101,0,40, United-States, <=50K
60, Private,185836, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
31, Private,220690, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,80, United-States, <=50K
17, Private,277541, 11th, Never-married, Sales, Own-child, White, Male,0,0,5, United-States, <=50K
19, ?,365871, 7th-8th, Never-married, ?, Not-in-family, White, Male,0,0,40, Mexico, <=50K
57, Private,346963, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
38, State-gov,343642, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
40, Private,203761, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
27, ?,90270, Assoc-acdm, Married-civ-spouse, ?, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
45, Local-gov,304973, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,78, United-States, >50K
51, Private,96062, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States, >50K
72, ?,188009, 7th-8th, Divorced, ?, Not-in-family, White, Male,0,0,30, United-States, <=50K
50, State-gov,54709, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,46, United-States, <=50K
19, Private,250639, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
36, Local-gov,285865, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
22, Private,67234, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,45, United-States, <=50K
23, Private,293565, 10th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
73, ?,90557, 11th, Married-civ-spouse, ?, Husband, White, Male,0,0,8, United-States, <=50K
26, Private,366219, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1848,60, United-States, >50K
54, Private,179291, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,56, Haiti, >50K
49, Private,277946, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
26, Private,177720, Assoc-acdm, Divorced, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K
42, ?,240027, HS-grad, Divorced, ?, Not-in-family, Black, Female,0,0,40, United-States, <=50K
27, Private,115945, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
17, ?,215743, 11th, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private,609789, Assoc-acdm, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private,200153, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,38, United-States, <=50K
27, Private,219863, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
60, Private,121832, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
49, Private,50567, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,32, United-States, <=50K
33, Self-emp-not-inc,427474, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
43, Self-emp-not-inc,187322, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,45, United-States, <=50K
34, Private,80933, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1672,40, United-States, <=50K
54, Private,145714, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,7688,0,25, United-States, >50K
18, Private,137363, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
22, Private,46645, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,9, United-States, <=50K
27, Private,199903, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private,236696, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private,232985, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,20, United-States, <=50K
32, Local-gov,118457, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States, <=50K
22, Private,24896, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,30, Germany, <=50K
47, Private,227310, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
18, ?,437851, Some-college, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private,178322, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
58, Private,201393, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Male,0,1876,40, United-States, <=50K
26, Private,134888, Bachelors, Never-married, Tech-support, Own-child, White, Female,0,0,35, United-States, <=50K
25, Private,57635, Assoc-voc, Married-civ-spouse, Sales, Wife, White, Female,0,0,42, United-States, >50K
52, Private,98588, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, Private,66917, 11th, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, Mexico, <=50K
32, Private,209808, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1740,47, United-States, <=50K
19, Private,439779, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
29, Private,289991, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,55, United-States, <=50K
21, Private,234108, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private,207202, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States, >50K
48, Private,268083, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, ?,189765, 5th-6th, Married-civ-spouse, ?, Wife, White, Female,0,0,40, United-States, <=50K
47, Local-gov,37672, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,45, United-States, <=50K
23, State-gov,170091, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,6, United-States, <=50K
32, Private,127610, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,32, United-States, >50K
31, Local-gov,213307, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private,222925, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,2105,0,40, United-States, <=50K
37, Private,103986, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,39, United-States, >50K
51, State-gov,77905, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private,217961, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,1719,30, United-States, <=50K
55, Private,185436, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
17, Private,191260, 11th, Never-married, Other-service, Own-child, White, Male,594,0,10, United-States, <=50K
58, Private,29928, Some-college, Married-civ-spouse, Sales, Wife, White, Female,0,0,36, United-States, <=50K
45, Private,408773, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
35, Private,126569, Some-college, Married-civ-spouse, Sales, Husband, White, Male,4064,0,40, United-States, <=50K
25, Private,106377, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
56, Private,357118, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
39, Self-emp-not-inc,331481, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Male,0,1669,60, ?, <=50K
31, Private,90668, 10th, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private,280714, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private,200471, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, United-States, <=50K
29, Self-emp-not-inc,241431, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
47, Private,120781, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,40, ?, >50K
18, ?,165532, 12th, Never-married, ?, Own-child, White, Male,0,0,25, United-States, <=50K
38, Private,159179, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States, >50K
50, Private,97741, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
23, Private,62278, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private,287268, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
55, Private,183884, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
34, State-gov,318982, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1848,40, United-States, >50K
28, Private,76313, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
57, Self-emp-not-inc,181031, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
49, Private,208978, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,16, United-States, <=50K
28, Federal-gov,214858, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,48, United-States, <=50K
28, Self-emp-not-inc,200515, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private,114838, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,8, Italy, <=50K
24, Private,241367, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private,159589, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,85, United-States, <=50K
44, Private,124563, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
32, Self-emp-inc,244665, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,45, United-States, >50K
40, Local-gov,244522, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,48, United-States, >50K
23, Private,60847, Assoc-voc, Never-married, Sales, Unmarried, White, Female,0,0,60, United-States, <=50K
32, Private,251701, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, ?, <=50K
43, Private,289669, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,2547,40, United-States, >50K
61, Private,202202, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private,136081, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,2051,40, United-States, <=50K
20, Private,258430, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,19, United-States, <=50K
64, Private,180247, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
42, Private,76280, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
66, Local-gov,157942, HS-grad, Widowed, Transport-moving, Not-in-family, Black, Female,0,0,40, United-States, <=50K
45, Federal-gov,155659, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
46, Self-emp-not-inc,353012, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,50, United-States, >50K
68, Self-emp-inc,140852, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
29, Private,208577, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
30, Private,219838, 12th, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private,35595, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
30, Private,194901, Prof-school, Divorced, Sales, Own-child, White, Male,0,0,55, United-States, <=50K
30, Private,208043, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States, >50K
32, Private,172375, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,38, United-States, <=50K
25, Private,182866, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
23, Self-emp-inc,215395, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private,131463, 10th, Divorced, Other-service, Unmarried, White, Female,0,0,33, United-States, <=50K
20, Private,38001, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
44, Private,215479, HS-grad, Divorced, Transport-moving, Not-in-family, Black, Male,0,0,20, Haiti, <=50K
55, Private,198385, 7th-8th, Widowed, Other-service, Unmarried, White, Female,0,0,20, ?, <=50K
29, Private,115677, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Self-emp-inc,78530, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
45, Private,177543, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,28, United-States, <=50K
52, Private,127315, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Self-emp-not-inc,188563, HS-grad, Divorced, Farming-fishing, Own-child, White, Male,0,0,50, United-States, <=50K
20, State-gov,200819, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private,53598, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private,339482, 1st-4th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
42, Private,150568, HS-grad, Separated, Sales, Unmarried, White, Female,0,0,45, United-States, <=50K
27, Private,269354, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,25, ?, <=50K
69, ?,628797, Some-college, Widowed, ?, Not-in-family, White, Female,0,0,20, United-States, <=50K
23, Private,180771, 1st-4th, Married-civ-spouse, Machine-op-inspct, Wife, Amer-Indian-Eskimo, Female,0,0,35, Mexico, <=50K
26, Private,89389, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Federal-gov,195949, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
47, Private,287480, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private,211160, 12th, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private,58343, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, <=50K
