gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
Male,Rural,Bachelor,2L-5L,0,8,4533,More than 1,C,Platinum,107604
Female,Urban,High School,5L-10L,1,7,5832,More than 1,A,Platinum,87348
Male,Urban,High School,5L-10L,1,6,6541,1,A,Platinum,33852
Female,Urban,High School,2L-5L,1,4,3885,More than 1,A,Silver,54888
Female,Urban,High School,2L-5L,1,0,4985,More than 1,A,Platinum,57264
Male,Urban,Bachelor,5L-10L,1,3,0,1,B,Silver,72504
Male,Urban,Others,2L-5L,1,2,3241,1,B,Silver,56556
Male,Rural,Others,5L-10L,0,3,3503,More than 1,B,Platinum,362040
Male,Urban,High School,5L-10L,0,1,6770,More than 1,A,Gold,59856
Female,Urban,High School,5L-10L,1,2,10337,More than 1,A,Gold,77232
Male,Urban,High School,2L-5L,0,6,2803,More than 1,B,Platinum,112668
Male,Urban,High School,5L-10L,0,6,5793,More than 1,A,Gold,62208
Female,Urban,High School,2L-5L,0,4,11851,More than 1,A,Silver,266160
Male,Urban,Bachelor,5L-10L,1,6,5120,More than 1,A,Platinum,117384
Female,Urban,Bachelor,2L-5L,1,3,14207,More than 1,A,Platinum,436560
Male,Urban,High School,2L-5L,0,7,8092,More than 1,B,Silver,541320
Female,Rural,Bachelor,5L-10L,1,5,0,1,B,Silver,54000
Male,Urban,Bachelor,5L-10L,1,5,6093,1,A,Platinum,73152
Female,Urban,High School,5L-10L,1,3,3391,1,C,Silver,36672
Female,Urban,Bachelor,5L-10L,1,7,5401,More than 1,A,Platinum,285396
Female,Rural,Bachelor,More than 10L,1,3,0,More than 1,B,Platinum,61512
Male,Urban,Others,More than 10L,1,6,6107,More than 1,A,Platinum,102696
Male,Urban,Bachelor,2L-5L,0,4,4035,More than 1,B,Platinum,523404
Female,Urban,High School,2L-5L,0,7,4490,More than 1,A,Platinum,190680
Male,Rural,High School,More than 10L,0,6,2031,1,A,Gold,34308
Male,Urban,High School,2L-5L,1,4,6216,More than 1,A,Silver,104640
Male,Urban,Bachelor,2L-5L,1,7,4328,More than 1,A,Gold,98592
Male,Urban,Bachelor,5L-10L,1,4,0,More than 1,B,Gold,180648
Male,Urban,Bachelor,More than 10L,0,5,5024,More than 1,A,Platinum,65940
Male,Rural,Bachelor,5L-10L,1,1,0,More than 1,B,Gold,99456
Female,Urban,Bachelor,2L-5L,1,3,12504,More than 1,A,Gold,152868
Female,Urban,High School,5L-10L,1,3,12274,More than 1,A,Gold,58536
Female,Rural,High School,More than 10L,1,0,2734,1,A,Platinum,69972
Female,Urban,High School,5L-10L,1,8,6360,1,A,Platinum,89268
Male,Urban,Bachelor,2L-5L,1,5,2292,More than 1,A,Gold,54624
Male,Urban,High School,More than 10L,1,7,0,1,B,Platinum,64404
Female,Urban,Bachelor,2L-5L,1,7,5504,More than 1,A,Platinum,66912
Male,Urban,Bachelor,5L-10L,0,8,8326,More than 1,A,Platinum,51900
Male,Urban,High School,5L-10L,1,5,4362,1,A,Platinum,66876
Male,Urban,Bachelor,5L-10L,1,5,3803,More than 1,A,Silver,70428
Male,Urban,Bachelor,More than 10L,1,7,3755,More than 1,A,Platinum,72480
Male,Urban,High School,2L-5L,0,5,6054,More than 1,A,Platinum,57480
Male,Urban,High School,5L-10L,1,7,4114,More than 1,A,Platinum,409644
Female,Urban,Bachelor,5L-10L,1,3,3013,More than 1,A,Platinum,68508
Male,Rural,Bachelor,More than 10L,0,5,2431,More than 1,A,Silver,58572
Male,Urban,High School,More than 10L,1,7,14427,More than 1,A,Silver,30060
Female,Urban,Bachelor,2L-5L,1,6,6552,More than 1,A,Silver,103272
Male,Rural,High School,More than 10L,1,8,2084,More than 1,A,Platinum,57840
Male,Rural,High School,5L-10L,1,7,0,1,B,Platinum,34860
Female,Urban,Bachelor,5L-10L,0,0,6968,More than 1,A,Gold,189432
Female,Urban,High School,5L-10L,1,5,0,1,A,Platinum,47616
Female,Rural,Bachelor,More than 10L,0,4,6280,More than 1,B,Platinum,413472
Male,Rural,High School,5L-10L,1,7,0,More than 1,C,Gold,72372
Male,Rural,Bachelor,2L-5L,0,7,5877,More than 1,B,Platinum,72672
Male,Urban,High School,5L-10L,0,3,4712,More than 1,A,Platinum,164928
Male,Urban,High School,5L-10L,1,2,9361,More than 1,C,Silver,324492
Male,Urban,High School,5L-10L,1,4,4168,More than 1,B,Gold,70260
Male,Urban,High School,5L-10L,0,4,6173,More than 1,A,Gold,231336
Male,Rural,High School,More than 10L,0,6,5024,More than 1,A,Gold,60648
Male,Urban,High School,5L-10L,0,5,5090,1,A,Platinum,58908
Female,Urban,High School,5L-10L,0,5,5682,1,A,Platinum,67944
Male,Urban,High School,5L-10L,1,2,3608,More than 1,B,Platinum,66672
Female,Urban,Bachelor,2L-5L,0,5,5873,More than 1,A,Silver,62232
Male,Urban,High School,More than 10L,1,0,6429,More than 1,A,Platinum,100212
Female,Rural,High School,5L-10L,0,5,3035,More than 1,A,Platinum,60600
Female,Rural,High School,More than 10L,1,1,3169,More than 1,A,Platinum,58620
Male,Rural,Bachelor,5L-10L,1,6,0,More than 1,A,Platinum,66360
Male,Rural,Bachelor,5L-10L,1,4,3339,1,A,Platinum,35424
Male,Rural,High School,5L-10L,0,7,0,More than 1,B,Gold,97716
Male,Urban,Bachelor,More than 10L,0,6,7097,More than 1,A,Platinum,66900
Male,Urban,Bachelor,2L-5L,1,6,11586,More than 1,A,Gold,333924
Female,Urban,High School,<=2L,1,1,4612,More than 1,A,Silver,88308
Male,Urban,Bachelor,More than 10L,0,5,2261,1,B,Platinum,34476
Female,Urban,Others,2L-5L,0,0,3276,More than 1,B,Silver,69672
Male,Urban,High School,5L-10L,1,2,3157,More than 1,A,Platinum,165024
Female,Rural,Bachelor,5L-10L,1,2,2300,More than 1,C,Gold,69756
Male,Urban,High School,5L-10L,1,3,5920,More than 1,A,Gold,295152
Male,Urban,Bachelor,2L-5L,0,4,5486,More than 1,A,Silver,107172
Female,Urban,High School,5L-10L,0,1,2393,More than 1,B,Platinum,63264
Female,Urban,High School,5L-10L,1,4,0,1,A,Platinum,61308
Male,Urban,Bachelor,5L-10L,1,6,6867,1,A,Platinum,61608
Female,Rural,Bachelor,More than 10L,1,6,0,More than 1,B,Silver,92448
Male,Rural,High School,More than 10L,1,4,0,1,B,Platinum,31800
Male,Urban,Bachelor,5L-10L,1,0,4964,More than 1,A,Platinum,96048
Male,Urban,High School,5L-10L,0,6,5419,1,C,Platinum,437220
Female,Urban,High School,5L-10L,0,4,6557,More than 1,A,Gold,61800
Female,Urban,Bachelor,5L-10L,0,2,5884,1,A,Platinum,33924
Female,Urban,High School,5L-10L,1,4,2699,More than 1,A,Gold,95304
Female,Urban,High School,5L-10L,1,3,5244,1,A,Platinum,34596
Male,Urban,Bachelor,2L-5L,1,3,4552,More than 1,B,Gold,66036
Female,Urban,High School,5L-10L,0,8,0,More than 1,B,Platinum,106056
Male,Rural,Bachelor,5L-10L,0,5,3105,1,B,Platinum,66984
Female,Rural,Bachelor,5L-10L,0,2,0,More than 1,A,Silver,94716
Female,Rural,Bachelor,More than 10L,1,8,0,1,A,Platinum,65796
Female,Urban,High School,More than 10L,1,5,2413,More than 1,A,Gold,94932
Female,Rural,High School,5L-10L,1,4,5142,More than 1,B,Platinum,71196
Female,Urban,High School,5L-10L,1,4,2664,1,A,Platinum,64248
Male,Urban,High School,5L-10L,0,2,9778,More than 1,A,Platinum,145452
Male,Urban,Bachelor,2L-5L,1,5,6333,More than 1,C,Platinum,59520
Female,Urban,Bachelor,5L-10L,1,3,4798,1,A,Platinum,31020
Male,Rural,High School,More than 10L,1,3,0,1,A,Platinum,71088
Male,Urban,High School,2L-5L,1,2,4253,1,A,Platinum,65472
Female,Urban,Bachelor,2L-5L,0,6,5585,More than 1,A,Platinum,132804
Male,Urban,High School,5L-10L,1,7,4432,1,A,Platinum,67236
Male,Urban,Bachelor,More than 10L,1,6,3760,More than 1,A,Platinum,94512
Male,Rural,Bachelor,5L-10L,1,4,2111,1,C,Platinum,32328
Female,Urban,Bachelor,More than 10L,0,7,4422,More than 1,B,Platinum,525144
Male,Rural,High School,5L-10L,1,4,7361,More than 1,A,Silver,62292
Male,Urban,High School,5L-10L,0,7,2872,More than 1,B,Gold,58440
Female,Rural,Bachelor,More than 10L,0,6,6546,More than 1,A,Silver,116748
Male,Urban,Others,5L-10L,0,6,6195,1,B,Platinum,36600
Male,Urban,Bachelor,5L-10L,1,6,0,1,C,Gold,33192
Male,Urban,Bachelor,2L-5L,0,0,13600,More than 1,A,Gold,163716
Male,Urban,Bachelor,2L-5L,1,1,5297,More than 1,A,Platinum,69720
Female,Rural,High School,2L-5L,0,2,0,More than 1,C,Silver,64248
Male,Urban,High School,5L-10L,1,3,4225,1,C,Platinum,65628
Female,Urban,High School,2L-5L,0,1,3791,More than 1,A,Silver,311880
Male,Urban,High School,5L-10L,0,2,12404,More than 1,A,Silver,56280
Male,Rural,High School,5L-10L,1,4,0,More than 1,B,Platinum,71688
Female,Rural,Bachelor,5L-10L,1,4,2789,More than 1,A,Gold,64488
Female,Urban,Bachelor,5L-10L,1,4,3892,More than 1,A,Gold,105576
Female,Urban,High School,2L-5L,0,0,0,1,C,Platinum,120540
Male,Urban,Others,More than 10L,0,5,3887,1,A,Platinum,33516
Male,Urban,Bachelor,5L-10L,0,5,6420,More than 1,C,Silver,269256
Female,Rural,Bachelor,More than 10L,0,6,3334,More than 1,B,Gold,67656
Female,Urban,Bachelor,2L-5L,0,0,8289,More than 1,A,Platinum,662760
Male,Urban,High School,<=2L,1,5,19521,More than 1,A,Platinum,69348
Male,Urban,Bachelor,5L-10L,1,6,3999,1,B,Silver,64176
Male,Urban,High School,5L-10L,0,5,7035,1,C,Platinum,50196
Female,Urban,High School,5L-10L,1,7,7727,1,A,Platinum,48768
Female,Rural,Bachelor,5L-10L,1,6,2402,1,B,Silver,67332
Male,Urban,Bachelor,2L-5L,1,7,6017,More than 1,C,Platinum,74604
Male,Urban,Bachelor,5L-10L,1,4,3668,More than 1,A,Platinum,95472
Female,Urban,High School,5L-10L,0,2,5550,More than 1,A,Platinum,64392
Male,Rural,Bachelor,5L-10L,1,5,2738,More than 1,B,Platinum,61236
Female,Urban,High School,5L-10L,0,8,0,More than 1,A,Platinum,103500
Female,Rural,Bachelor,More than 10L,1,4,3776,More than 1,B,Platinum,95532
Male,Urban,Others,More than 10L,1,0,3522,More than 1,A,Gold,37440
Female,Urban,High School,5L-10L,1,6,5807,1,B,Platinum,36852
Male,Urban,Bachelor,5L-10L,1,6,3568,More than 1,A,Platinum,77448
Female,Urban,High School,More than 10L,0,4,8004,More than 1,B,Platinum,75036
Female,Urban,High School,5L-10L,1,5,0,1,B,Silver,33168
Male,Rural,High School,5L-10L,1,6,6133,More than 1,B,Platinum,180780
Female,Urban,High School,2L-5L,0,5,6048,More than 1,A,Platinum,44256
Female,Urban,High School,5L-10L,1,7,7970,More than 1,A,Gold,430932
Male,Urban,High School,5L-10L,1,6,3754,More than 1,A,Platinum,47508
Female,Rural,High School,More than 10L,1,4,0,More than 1,B,Platinum,81876
Male,Urban,High School,More than 10L,1,5,4357,1,A,Platinum,99828
Female,Urban,High School,5L-10L,1,6,5993,More than 1,A,Platinum,72252
Male,Urban,Bachelor,5L-10L,0,8,5331,1,A,Gold,67752
Female,Urban,High School,5L-10L,0,4,6470,More than 1,A,Platinum,259200
Male,Urban,Bachelor,2L-5L,1,6,6938,1,A,Platinum,32976
Female,Rural,High School,5L-10L,0,5,0,1,A,Gold,32388
Male,Urban,Bachelor,5L-10L,1,5,6604,1,C,Gold,37884
Male,Rural,High School,5L-10L,1,4,5179,More than 1,B,Platinum,100896
Male,Urban,Bachelor,2L-5L,0,5,7335,More than 1,C,Silver,63228
Female,Urban,Bachelor,5L-10L,1,3,4414,More than 1,B,Silver,64980
Female,Urban,Bachelor,5L-10L,0,2,9451,More than 1,A,Platinum,103920
Male,Urban,High School,5L-10L,0,5,5660,1,B,Silver,32040
Male,Urban,High School,2L-5L,1,4,9220,More than 1,A,Platinum,98592
Female,Rural,High School,More than 10L,1,5,2880,1,A,Gold,49068
Female,Urban,High School,More than 10L,0,4,6415,More than 1,A,Gold,60192
Female,Urban,High School,2L-5L,0,6,3580,More than 1,A,Platinum,104520
Male,Rural,Bachelor,5L-10L,0,1,2891,1,A,Platinum,28536
Female,Urban,High School,More than 10L,0,5,3930,1,A,Platinum,30672
Male,Urban,Bachelor,5L-10L,1,3,3912,More than 1,A,Platinum,130248
Female,Urban,High School,2L-5L,1,3,4834,More than 1,B,Gold,182424
Female,Urban,Others,2L-5L,1,3,5435,More than 1,C,Silver,161400
Male,Urban,Bachelor,More than 10L,1,3,3801,More than 1,A,Platinum,59172
Female,Rural,Bachelor,5L-10L,0,0,6055,1,A,Platinum,33396
Female,Urban,High School,5L-10L,0,4,6012,1,C,Platinum,29508
Female,Rural,High School,5L-10L,1,8,2390,1,A,Platinum,69060
Male,Urban,High School,5L-10L,0,7,8742,More than 1,B,Gold,111828
Female,Urban,High School,5L-10L,0,1,4081,More than 1,B,Silver,66840
Female,Urban,High School,2L-5L,1,6,5960,1,A,Platinum,31680
Male,Urban,High School,2L-5L,1,5,0,More than 1,A,Silver,60780
Female,Urban,High School,More than 10L,1,0,7653,More than 1,C,Platinum,95484
Male,Rural,Bachelor,5L-10L,0,1,0,1,B,Platinum,28800
Male,Urban,High School,5L-10L,0,3,4210,More than 1,A,Gold,60552
Female,Rural,Bachelor,More than 10L,1,8,0,More than 1,A,Gold,104400
Male,Rural,Others,2L-5L,1,5,0,1,A,Silver,111900
Female,Urban,Bachelor,5L-10L,1,8,4990,1,B,Silver,34260
Male,Rural,Bachelor,5L-10L,1,3,3588,More than 1,B,Platinum,29880
Female,Urban,High School,<=2L,1,2,3958,More than 1,A,Gold,63972
Male,Urban,High School,5L-10L,1,7,4491,More than 1,A,Gold,414360
Male,Rural,Bachelor,2L-5L,1,5,7261,1,B,Gold,32868
Male,Urban,High School,5L-10L,0,5,4643,More than 1,A,Silver,29712
Female,Rural,Bachelor,5L-10L,0,2,4548,1,C,Silver,37788
Male,Rural,High School,More than 10L,1,1,2787,More than 1,A,Silver,72240
Male,Rural,High School,5L-10L,1,8,5221,More than 1,A,Platinum,101280
Male,Urban,High School,5L-10L,0,2,4380,More than 1,A,Platinum,52548
Male,Rural,High School,5L-10L,1,5,0,More than 1,A,Silver,108708
Male,Urban,High School,2L-5L,0,7,7251,More than 1,A,Platinum,67224
Male,Rural,Bachelor,5L-10L,1,6,2338,1,A,Platinum,62832
Male,Urban,Others,2L-5L,1,6,6298,More than 1,C,Silver,62520
Male,Urban,Bachelor,2L-5L,1,3,3885,1,A,Silver,34032
Female,Urban,High School,More than 10L,1,8,2259,More than 1,B,Silver,78804
Male,Rural,High School,5L-10L,1,8,0,1,C,Silver,50556
Female,Urban,Bachelor,More than 10L,1,6,6406,1,B,Gold,45384
Male,Urban,Bachelor,More than 10L,1,0,2727,More than 1,B,Gold,68148
Male,Rural,Bachelor,2L-5L,1,7,0,More than 1,B,Platinum,67008
Female,Urban,High School,More than 10L,0,2,0,More than 1,C,Gold,67008
Male,Urban,Bachelor,5L-10L,1,3,2368,More than 1,A,Silver,52176
Male,Urban,High School,5L-10L,1,1,7496,More than 1,A,Silver,29880
Female,Rural,Bachelor,2L-5L,1,1,16343,More than 1,A,Gold,135120
Female,Rural,High School,5L-10L,0,5,2672,More than 1,A,Gold,65520
Female,Rural,High School,5L-10L,0,6,5664,More than 1,A,Gold,70248
Female,Urban,Bachelor,5L-10L,0,6,0,1,A,Platinum,32892
Female,Urban,Bachelor,2L-5L,1,4,5307,More than 1,A,Silver,30708
Male,Rural,Bachelor,5L-10L,1,2,0,More than 1,A,Gold,44388
Female,Rural,High School,5L-10L,1,6,0,1,A,Platinum,59916
Male,Urban,Others,5L-10L,0,0,0,1,A,Gold,50592
Male,Rural,Bachelor,More than 10L,0,1,0,1,A,Gold,30372
Male,Rural,High School,More than 10L,1,7,0,1,B,Platinum,29592
Female,Urban,Bachelor,5L-10L,0,4,5246,1,A,Platinum,72204
Male,Rural,Bachelor,5L-10L,1,7,3672,1,A,Platinum,57516
Male,Urban,Bachelor,2L-5L,0,5,4471,More than 1,B,Platinum,153360
Female,Urban,High School,5L-10L,1,4,4051,More than 1,A,Platinum,68532
Female,Rural,High School,More than 10L,1,4,3606,More than 1,A,Silver,60024
Female,Rural,Bachelor,More than 10L,0,8,3017,1,B,Gold,51096
Male,Urban,High School,<=2L,1,2,4649,More than 1,A,Platinum,108504
Male,Urban,High School,2L-5L,0,5,5690,More than 1,A,Silver,97788
Male,Rural,Bachelor,2L-5L,1,5,3506,More than 1,B,Silver,67932
Male,Urban,High School,2L-5L,0,7,10338,More than 1,A,Platinum,74460
Male,Urban,Bachelor,5L-10L,1,4,3733,More than 1,C,Silver,275976
Female,Urban,High School,More than 10L,1,6,4200,1,A,Platinum,31368
Female,Rural,High School,5L-10L,1,0,2952,More than 1,B,Gold,331944
Male,Urban,Others,2L-5L,0,4,4211,More than 1,A,Platinum,100200
Male,Urban,Bachelor,2L-5L,0,2,3978,More than 1,A,Silver,177036
Male,Rural,High School,5L-10L,1,1,5658,1,C,Platinum,31944
Male,Urban,High School,5L-10L,1,3,3919,More than 1,A,Gold,75648
Female,Urban,High School,5L-10L,1,7,4095,1,A,Silver,31584
Female,Urban,Bachelor,5L-10L,0,2,2864,More than 1,A,Silver,109488
Female,Rural,Bachelor,5L-10L,1,5,0,More than 1,A,Silver,104280
Female,Urban,High School,2L-5L,0,5,5858,More than 1,C,Gold,96588
Male,Rural,Bachelor,5L-10L,0,4,2009,More than 1,A,Gold,58356
Male,Urban,Bachelor,5L-10L,0,6,3976,1,A,Platinum,59508
Male,Urban,Bachelor,5L-10L,1,4,8739,More than 1,A,Platinum,63444
Female,Urban,High School,5L-10L,1,6,0,More than 1,B,Platinum,69972
Female,Urban,Bachelor,2L-5L,0,4,12306,1,B,Gold,92676
Male,Urban,High School,5L-10L,1,0,4681,More than 1,A,Gold,60072
Male,Rural,Bachelor,5L-10L,1,2,0,1,A,Gold,32844
Female,Urban,High School,2L-5L,1,2,3883,More than 1,A,Platinum,90384
Male,Urban,Bachelor,5L-10L,0,2,0,More than 1,A,Platinum,223176
Male,Urban,Bachelor,5L-10L,0,1,4179,More than 1,A,Platinum,248604
Female,Urban,Bachelor,2L-5L,1,2,3839,More than 1,A,Gold,99648
Female,Rural,High School,5L-10L,1,5,4679,More than 1,A,Gold,67164
Male,Urban,Bachelor,More than 10L,1,6,5127,1,A,Gold,30528
Male,Rural,High School,5L-10L,1,6,0,1,C,Gold,31980
Female,Urban,Bachelor,2L-5L,1,6,5140,More than 1,A,Platinum,62820
Male,Rural,High School,5L-10L,0,5,4448,1,A,Gold,45804
Female,Urban,High School,2L-5L,0,1,2281,More than 1,A,Platinum,105936
Male,Rural,High School,5L-10L,0,7,2775,More than 1,B,Platinum,68184
Female,Urban,High School,5L-10L,0,6,3921,More than 1,A,Platinum,58920
Female,Rural,Bachelor,5L-10L,0,7,4889,1,B,Platinum,64452
Female,Urban,Bachelor,5L-10L,0,5,6181,1,A,Gold,59268
Male,Urban,Bachelor,More than 10L,0,3,6701,More than 1,A,Platinum,61692
Male,Rural,High School,5L-10L,1,6,0,1,B,Gold,36948
Male,Urban,Bachelor,5L-10L,1,6,5175,More than 1,A,Platinum,55536
Male,Urban,Bachelor,5L-10L,0,2,15812,1,A,Platinum,215040
Female,Rural,Bachelor,More than 10L,0,6,0,More than 1,B,Platinum,64740
Male,Rural,High School,5L-10L,1,7,0,More than 1,A,Platinum,98412
Female,Rural,Bachelor,5L-10L,0,7,6103,More than 1,A,Gold,90780
Male,Urban,Bachelor,5L-10L,0,0,3452,More than 1,A,Platinum,112740
Female,Rural,High School,5L-10L,1,2,0,More than 1,A,Platinum,116088
Male,Urban,Bachelor,More than 10L,0,8,6532,More than 1,A,Platinum,110436
Male,Urban,High School,2L-5L,1,1,0,More than 1,B,Platinum,59148
Female,Urban,Others,5L-10L,1,5,6094,1,A,Silver,32124
Male,Urban,Bachelor,2L-5L,0,3,8524,More than 1,A,Platinum,90912
Male,Rural,High School,2L-5L,0,8,0,More than 1,B,Gold,66168
Male,Urban,High School,5L-10L,1,3,2734,More than 1,A,Gold,50208
Male,Rural,Bachelor,More than 10L,1,5,0,More than 1,B,Platinum,62904
Male,Urban,Bachelor,2L-5L,1,2,0,1,B,Platinum,58968
Male,Urban,Bachelor,2L-5L,1,4,0,1,C,Silver,35112
Male,Urban,High School,More than 10L,1,5,4054,1,A,Platinum,35460
Male,Urban,High School,5L-10L,1,8,3158,1,A,Silver,65616
Female,Urban,High School,2L-5L,1,2,9947,More than 1,A,Platinum,272016
Female,Urban,Bachelor,5L-10L,0,5,2539,More than 1,B,Silver,105036
Female,Rural,High School,5L-10L,1,5,6563,More than 1,B,Platinum,315468
Male,Urban,High School,5L-10L,1,5,8194,1,A,Silver,39108
Male,Rural,Bachelor,More than 10L,1,7,0,1,A,Silver,45192
Female,Rural,High School,5L-10L,1,5,0,1,A,Platinum,95376
Male,Rural,Bachelor,2L-5L,1,6,2916,More than 1,C,Platinum,90708
Female,Urban,High School,5L-10L,1,5,14926,More than 1,A,Gold,97200
Male,Urban,High School,2L-5L,0,8,26273,More than 1,B,Silver,65112
Male,Urban,High School,5L-10L,1,8,5385,More than 1,C,Silver,199236
Male,Urban,High School,More than 10L,1,6,5745,More than 1,B,Platinum,92784
Male,Urban,High School,More than 10L,1,6,6828,More than 1,A,Platinum,229080
Male,Urban,High School,5L-10L,0,6,2735,More than 1,B,Silver,144708
Male,Urban,Bachelor,5L-10L,0,4,3910,More than 1,A,Platinum,408588
Female,Rural,Others,2L-5L,1,4,0,More than 1,A,Gold,167976
Female,Urban,High School,<=2L,1,2,5800,1,A,Platinum,99240
Male,Rural,Others,5L-10L,1,0,4105,More than 1,B,Silver,37152
Female,Urban,High School,2L-5L,1,5,4094,More than 1,A,Platinum,105828
Male,Urban,High School,5L-10L,1,1,3612,More than 1,A,Platinum,65352
