gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
Female,Urban,High School,5L-10L,0,1,6344,More than 1,A,Gold,46848
Male,Urban,High School,5L-10L,1,2,8426,More than 1,C,Gold,47676
Male,Rural,High School,5L-10L,0,7,5450,1,A,Gold,34428
Male,Urban,High School,5L-10L,1,7,6962,1,A,Platinum,66144
Female,Urban,High School,5L-10L,0,6,3687,More than 1,A,Platinum,60564
Male,Urban,Bachelor,2L-5L,0,6,0,More than 1,B,Silver,57588
Female,Urban,High School,5L-10L,1,6,2239,More than 1,A,Silver,102780
Male,Urban,Bachelor,5L-10L,0,3,3097,1,B,Silver,31704
Female,Urban,High School,5L-10L,1,1,4133,1,A,Platinum,29124
Female,Urban,High School,More than 10L,0,2,3468,More than 1,A,Gold,87780
Female,Urban,High School,5L-10L,0,6,2936,1,B,Silver,75924
Female,Rural,High School,5L-10L,0,6,0,More than 1,A,Gold,96288
Male,Urban,High School,5L-10L,1,6,6115,More than 1,A,Gold,137328
Male,Urban,High School,5L-10L,1,4,4189,More than 1,A,Platinum,98772
Male,Urban,High School,More than 10L,1,8,5785,1,B,Silver,64080
Male,Urban,Bachelor,2L-5L,0,6,4233,More than 1,B,Platinum,70596
Male,Urban,Bachelor,5L-10L,1,6,5201,More than 1,A,Silver,103260
Male,Rural,High School,5L-10L,1,4,2006,1,A,Silver,32664
Male,Urban,Bachelor,5L-10L,1,3,2830,1,A,Gold,54684
Male,Urban,Bachelor,2L-5L,0,4,4141,More than 1,B,Platinum,68448
Male,Urban,Others,5L-10L,1,7,3891,1,B,Silver,35040
Male,Urban,High School,More than 10L,1,5,15692,More than 1,B,Platinum,158928
Female,Urban,High School,More than 10L,1,6,5588,1,A,Gold,48276
Female,Urban,High School,5L-10L,0,3,2498,More than 1,A,Platinum,112548
Female,Urban,Others,2L-5L,1,3,12582,More than 1,B,Platinum,246204
Female,Urban,High School,5L-10L,1,7,2345,More than 1,B,Platinum,70296
Male,Urban,High School,2L-5L,1,2,4689,1,A,Silver,33312
Female,Rural,High School,5L-10L,1,5,0,More than 1,A,Gold,67548
Male,Rural,Bachelor,2L-5L,0,0,3705,More than 1,A,Gold,63876
Male,Urban,Bachelor,5L-10L,0,3,3652,More than 1,A,Gold,109548
Male,Rural,High School,5L-10L,1,7,0,1,A,Platinum,32736
Female,Urban,Bachelor,5L-10L,1,6,9848,More than 1,A,Gold,104808
Female,Urban,High School,5L-10L,1,3,4817,More than 1,C,Gold,72120
Male,Rural,High School,More than 10L,1,5,2746,1,A,Platinum,29556
Male,Urban,High School,5L-10L,1,2,2811,More than 1,A,Gold,65448
Female,Urban,High School,5L-10L,1,2,3060,1,A,Gold,33300
Male,Rural,Bachelor,2L-5L,1,4,2745,More than 1,B,Silver,172848
Female,Urban,Others,5L-10L,1,2,4918,More than 1,A,Platinum,62256
Male,Urban,High School,5L-10L,0,7,3841,1,C,Silver,38952
Male,Urban,Bachelor,2L-5L,1,3,8746,1,A,Platinum,33012
Female,Urban,High School,5L-10L,1,6,3708,More than 1,A,Platinum,68352
Female,Rural,High School,5L-10L,0,6,9252,More than 1,B,Gold,102732
Female,Urban,High School,5L-10L,1,6,6068,More than 1,A,Platinum,110448
Male,Urban,High School,5L-10L,0,6,3396,More than 1,B,Gold,67692
Male,Urban,Bachelor,More than 10L,1,2,6036,1,A,Gold,28728
Female,Urban,High School,<=2L,1,2,3750,More than 1,A,Gold,58440
Male,Urban,Bachelor,2L-5L,0,7,0,1,A,Silver,65160
Female,Rural,Others,More than 10L,1,3,0,1,A,Silver,33828
Male,Urban,Bachelor,<=2L,0,0,3845,More than 1,B,Platinum,464604
Female,Urban,Bachelor,More than 10L,0,4,6774,More than 1,A,Platinum,104880
Male,Rural,Bachelor,5L-10L,0,3,2630,1,A,Gold,55068
Male,Rural,High School,5L-10L,1,4,0,More than 1,A,Platinum,58596
Female,Urban,High School,5L-10L,1,3,6067,1,B,Gold,31728
Male,Urban,Bachelor,5L-10L,1,6,3953,More than 1,A,Platinum,120000
Male,Urban,High School,2L-5L,1,4,6112,More than 1,A,Silver,60936
Male,Urban,Bachelor,5L-10L,1,4,2157,More than 1,B,Platinum,65292
Male,Rural,Bachelor,5L-10L,1,1,2309,More than 1,A,Silver,111744
Female,Rural,Bachelor,5L-10L,1,7,0,1,A,Platinum,35748
Male,Urban,Bachelor,2L-5L,0,5,5772,1,A,Gold,30504
Male,Urban,High School,5L-10L,1,2,5857,More than 1,A,Gold,67224
Male,Urban,High School,5L-10L,1,6,5456,1,A,Platinum,32760
Male,Urban,High School,5L-10L,1,3,0,1,A,Gold,33000
Male,Rural,High School,5L-10L,1,3,0,More than 1,A,Platinum,69180
Male,Urban,High School,5L-10L,1,7,4797,1,A,Platinum,32508
Female,Urban,High School,More than 10L,1,7,0,More than 1,B,Gold,72948
Male,Urban,Bachelor,5L-10L,1,4,3510,More than 1,A,Platinum,153696
Female,Urban,Bachelor,More than 10L,0,8,4012,More than 1,A,Platinum,65940
Male,Urban,Bachelor,5L-10L,1,4,3977,More than 1,A,Platinum,66900
Female,Urban,High School,5L-10L,1,8,5344,More than 1,A,Platinum,65808
Male,Urban,Bachelor,5L-10L,0,4,2452,1,A,Silver,50340
Female,Urban,High School,More than 10L,0,7,6029,More than 1,A,Gold,68988
Female,Rural,High School,5L-10L,0,2,0,More than 1,B,Gold,67140
Male,Urban,High School,5L-10L,0,3,5826,1,A,Platinum,36444
Male,Rural,Bachelor,5L-10L,0,2,5205,More than 1,C,Platinum,65436
Female,Urban,Bachelor,5L-10L,1,7,3029,More than 1,A,Gold,63576
Female,Rural,High School,5L-10L,1,7,0,More than 1,A,Platinum,64440
Female,Rural,Bachelor,5L-10L,1,7,5207,More than 1,A,Platinum,102336
Male,Urban,Bachelor,5L-10L,1,3,3099,1,A,Platinum,46452
Female,Urban,Others,5L-10L,1,6,4304,More than 1,A,Platinum,102852
Male,Urban,High School,5L-10L,1,3,2185,More than 1,A,Gold,56376
Male,Rural,Bachelor,More than 10L,1,6,0,More than 1,A,Silver,113904
Male,Urban,Others,More than 10L,0,4,2555,1,B,Platinum,65124
Male,Urban,High School,5L-10L,1,3,8020,More than 1,A,Gold,101940
Female,Urban,High School,5L-10L,0,1,6102,More than 1,C,Platinum,229776
Male,Rural,Others,5L-10L,0,8,3095,More than 1,C,Platinum,59784
Female,Urban,High School,More than 10L,1,4,7771,More than 1,A,Platinum,96336
Male,Urban,High School,5L-10L,1,1,5619,1,C,Silver,62892
Female,Urban,High School,5L-10L,1,3,5456,More than 1,C,Silver,181224
Female,Urban,Bachelor,2L-5L,0,3,8653,More than 1,A,Gold,102384
Male,Urban,Bachelor,5L-10L,1,0,5754,1,A,Gold,109356
Male,Urban,High School,5L-10L,1,5,6601,1,A,Platinum,30828
Male,Urban,High School,5L-10L,1,1,4647,1,A,Platinum,46800
Male,Rural,Bachelor,5L-10L,0,8,4711,1,B,Platinum,64044
Female,Rural,Bachelor,More than 10L,0,6,4234,More than 1,A,Platinum,63744
Male,Urban,Bachelor,2L-5L,1,5,9592,More than 1,A,Platinum,182580
Male,Urban,Bachelor,5L-10L,1,8,5868,1,B,Silver,192264
Male,Rural,Bachelor,5L-10L,0,6,2233,1,A,Platinum,31596
Female,Urban,Bachelor,2L-5L,0,1,2942,More than 1,B,Silver,64344
Female,Rural,Bachelor,5L-10L,1,3,7884,More than 1,B,Platinum,75768
Female,Urban,Bachelor,2L-5L,1,5,4264,More than 1,A,Platinum,62508
Female,Urban,Others,More than 10L,0,0,6085,More than 1,A,Platinum,91008
Female,Rural,Bachelor,5L-10L,1,1,0,More than 1,A,Silver,59916
Male,Urban,Bachelor,2L-5L,1,6,5618,More than 1,B,Silver,58488
Female,Urban,Bachelor,2L-5L,0,8,8189,More than 1,A,Gold,319848
Female,Urban,Bachelor,5L-10L,1,4,0,More than 1,A,Platinum,31668
Female,Urban,High School,5L-10L,0,2,8251,More than 1,A,Gold,67884
Male,Rural,High School,More than 10L,1,6,0,More than 1,B,Platinum,63600
Male,Urban,Bachelor,5L-10L,1,5,2602,1,A,Silver,31992
Female,Urban,High School,2L-5L,1,4,3906,More than 1,A,Silver,61728
Female,Urban,High School,5L-10L,0,7,0,More than 1,A,Platinum,119112
Female,Rural,Others,More than 10L,0,8,10251,More than 1,B,Platinum,72468
Male,Rural,High School,5L-10L,1,8,3739,More than 1,C,Platinum,71760
Female,Urban,Bachelor,5L-10L,1,4,3901,More than 1,A,Silver,58728
Male,Urban,Bachelor,5L-10L,0,7,0,More than 1,B,Silver,68436
Male,Urban,Bachelor,5L-10L,0,6,6620,More than 1,A,Gold,603264
Female,Urban,High School,2L-5L,0,4,4886,More than 1,A,Platinum,122208
Female,Urban,High School,2L-5L,0,7,2207,More than 1,B,Platinum,54456
Male,Rural,Bachelor,2L-5L,0,5,0,1,B,Platinum,29712
Male,Urban,Bachelor,2L-5L,1,6,6593,More than 1,C,Platinum,109464
Female,Urban,Bachelor,5L-10L,0,6,2600,More than 1,A,Gold,126948
Male,Urban,High School,5L-10L,1,5,3101,More than 1,A,Platinum,67980
Male,Urban,Bachelor,2L-5L,0,0,5843,1,A,Silver,33276
Female,Urban,Bachelor,5L-10L,1,5,2634,More than 1,A,Silver,72180
Male,Rural,Others,2L-5L,0,7,3106,1,B,Platinum,32280
Male,Urban,High School,2L-5L,1,2,5000,1,A,Gold,32436
Male,Rural,Bachelor,5L-10L,0,1,0,1,B,Silver,30444
Male,Rural,Others,5L-10L,1,5,4776,1,A,Gold,51936
Female,Rural,High School,5L-10L,1,7,3167,More than 1,B,Gold,254076
Male,Rural,Bachelor,5L-10L,0,2,0,More than 1,A,Silver,94236
Male,Urban,High School,5L-10L,0,8,6597,More than 1,A,Gold,68688
Female,Urban,High School,5L-10L,1,3,6626,More than 1,A,Platinum,317736
Female,Rural,Bachelor,5L-10L,1,6,0,More than 1,B,Platinum,298416
Male,Rural,High School,More than 10L,0,5,0,1,B,Platinum,51564
Female,Rural,High School,2L-5L,1,7,4038,More than 1,B,Silver,336912
Male,Urban,Bachelor,2L-5L,1,5,5467,1,B,Silver,30720
Male,Rural,High School,5L-10L,0,6,2958,More than 1,A,Silver,48240
Male,Urban,High School,5L-10L,0,1,5248,1,C,Silver,51612
Female,Rural,High School,5L-10L,1,3,0,1,A,Platinum,32160
Male,Rural,High School,More than 10L,1,2,2100,1,B,Silver,41196
Male,Urban,Bachelor,2L-5L,1,1,3511,More than 1,B,Platinum,62160
Female,Rural,Bachelor,5L-10L,1,3,0,1,A,Silver,33084
Female,Urban,Bachelor,5L-10L,0,7,5837,More than 1,A,Platinum,67908
Male,Urban,Bachelor,5L-10L,0,6,7231,1,B,Gold,65400
Male,Urban,High School,5L-10L,1,4,2155,More than 1,A,Platinum,66336
Female,Rural,Bachelor,More than 10L,0,7,0,More than 1,B,Platinum,33924
Female,Rural,Bachelor,5L-10L,1,6,0,More than 1,C,Platinum,71328
Male,Rural,High School,5L-10L,1,7,0,More than 1,B,Platinum,66564
Female,Urban,High School,5L-10L,0,1,14066,More than 1,A,Platinum,58308
Female,Urban,High School,5L-10L,1,3,6371,1,A,Gold,36528
Male,Urban,Others,5L-10L,1,8,3373,More than 1,B,Platinum,72288
Male,Rural,Bachelor,2L-5L,1,3,3868,More than 1,A,Platinum,61728
Male,Rural,High School,2L-5L,1,3,2761,1,B,Platinum,31476
Female,Urban,Bachelor,5L-10L,1,5,4010,More than 1,A,Platinum,65508
Male,Urban,High School,5L-10L,0,6,0,1,A,Platinum,37212
Female,Rural,Others,2L-5L,1,5,0,1,A,Gold,64332
Male,Rural,Others,5L-10L,1,7,4481,1,A,Platinum,68664
Female,Urban,Bachelor,5L-10L,0,5,8660,More than 1,A,Gold,68316
Male,Rural,Bachelor,5L-10L,1,7,2270,1,B,Gold,33360
Male,Urban,Bachelor,2L-5L,1,8,8224,More than 1,A,Platinum,96864
Male,Rural,High School,5L-10L,0,1,0,More than 1,B,Gold,203568
Female,Rural,Bachelor,5L-10L,1,0,0,More than 1,B,Platinum,73236
Male,Urban,High School,5L-10L,1,5,4198,More than 1,B,Platinum,48624
Female,Rural,High School,5L-10L,0,1,10213,More than 1,B,Gold,63516
Female,Rural,High School,2L-5L,1,7,0,1,A,Platinum,70920
Male,Rural,Bachelor,5L-10L,1,2,0,More than 1,A,Silver,115656
Male,Rural,Bachelor,5L-10L,1,8,3864,1,A,Platinum,59988
Female,Urban,Bachelor,5L-10L,1,5,7050,More than 1,A,Platinum,100200
Male,Rural,Bachelor,5L-10L,0,2,5454,More than 1,A,Platinum,105252
Male,Urban,Bachelor,5L-10L,1,8,4472,More than 1,A,Platinum,108840
Male,Urban,High School,5L-10L,1,7,3652,More than 1,A,Platinum,127296
Male,Rural,High School,5L-10L,1,7,0,1,B,Silver,53556
Female,Urban,Bachelor,5L-10L,1,7,4710,More than 1,C,Silver,64116
Male,Urban,Bachelor,2L-5L,1,6,4340,More than 1,A,Platinum,65952
Male,Rural,Bachelor,5L-10L,1,4,0,1,A,Platinum,30840
Female,Urban,High School,5L-10L,1,4,4213,1,A,Platinum,33804
Female,Urban,High School,5L-10L,0,7,6452,1,A,Silver,36780
Male,Urban,High School,5L-10L,1,6,12731,More than 1,A,Platinum,153108
Female,Rural,High School,5L-10L,0,0,3161,More than 1,A,Platinum,107580
Male,Rural,High School,5L-10L,0,7,2024,More than 1,B,Silver,66648
Female,Urban,High School,2L-5L,0,3,8280,More than 1,A,Gold,121716
Male,Urban,High School,5L-10L,0,1,11069,More than 1,A,Gold,214152
Male,Urban,Bachelor,5L-10L,1,2,6582,1,C,Gold,29976
Male,Urban,High School,2L-5L,1,6,4604,More than 1,A,Silver,62532
Female,Urban,Bachelor,5L-10L,0,6,5529,More than 1,A,Platinum,46008
Female,Urban,Bachelor,5L-10L,0,5,4613,1,A,Silver,29904
Male,Rural,Bachelor,5L-10L,0,6,3213,More than 1,B,Platinum,43416
Male,Rural,High School,More than 10L,1,6,0,More than 1,A,Platinum,62940
Female,Urban,High School,5L-10L,1,6,8137,More than 1,A,Platinum,63492
Male,Urban,Bachelor,More than 10L,1,2,2855,More than 1,A,Gold,109860
Male,Urban,Bachelor,5L-10L,1,7,0,More than 1,A,Silver,102168
Male,Rural,Others,2L-5L,0,3,0,1,A,Silver,48780
Female,Urban,Bachelor,<=2L,1,2,4231,More than 1,A,Platinum,288828
Male,Urban,Bachelor,5L-10L,1,7,0,More than 1,A,Platinum,337152
Female,Rural,Bachelor,More than 10L,1,2,0,1,A,Gold,46428
Male,Urban,High School,5L-10L,1,7,9035,More than 1,A,Silver,64596
Female,Rural,High School,5L-10L,1,5,5740,More than 1,A,Platinum,56508
Male,Rural,Bachelor,2L-5L,1,8,0,1,A,Platinum,63204
Female,Rural,Bachelor,5L-10L,1,6,0,More than 1,A,Silver,67620
Male,Urban,Bachelor,5L-10L,1,2,8130,More than 1,A,Gold,63924
Female,Urban,High School,More than 10L,1,6,3693,More than 1,A,Silver,60012
Male,Urban,Bachelor,2L-5L,0,4,5306,More than 1,B,Silver,73404
Male,Urban,Bachelor,5L-10L,0,6,3998,1,B,Platinum,62580
Female,Urban,Bachelor,2L-5L,1,5,5680,More than 1,B,Platinum,65364
Female,Urban,Bachelor,5L-10L,1,7,3760,More than 1,C,Silver,66504
Male,Rural,Bachelor,5L-10L,1,6,3033,1,B,Platinum,64632
Female,Rural,Bachelor,5L-10L,0,4,6728,More than 1,A,Silver,64632
Male,Urban,High School,5L-10L,0,4,3473,More than 1,B,Platinum,133188
Male,Urban,Bachelor,5L-10L,0,0,5485,1,A,Platinum,69108
Female,Urban,Bachelor,2L-5L,1,3,3718,1,A,Platinum,59316
Male,Urban,High School,2L-5L,0,8,6435,More than 1,B,Platinum,111984
Male,Urban,High School,5L-10L,0,5,7285,More than 1,A,Platinum,65256
Male,Rural,Bachelor,5L-10L,1,1,5948,More than 1,B,Silver,50916
Male,Urban,High School,2L-5L,0,4,5880,More than 1,B,Silver,153468
Male,Urban,High School,2L-5L,1,3,7269,More than 1,A,Platinum,238620
Female,Urban,Bachelor,5L-10L,0,1,4614,More than 1,B,Platinum,259584
Female,Urban,Bachelor,2L-5L,0,1,16118,More than 1,A,Platinum,120096
Male,Urban,Bachelor,5L-10L,0,8,19760,More than 1,A,Platinum,72024
Male,Urban,Bachelor,2L-5L,1,6,6038,More than 1,A,Silver,63564
Male,Urban,High School,5L-10L,1,4,6269,More than 1,A,Silver,65352
Female,Urban,Bachelor,More than 10L,1,5,2562,More than 1,A,Gold,94920
Male,Rural,Bachelor,5L-10L,0,6,2079,More than 1,B,Silver,61560
Female,Urban,High School,2L-5L,0,2,8038,More than 1,C,Platinum,180456
Female,Urban,Bachelor,5L-10L,1,3,4974,More than 1,A,Platinum,287244
Female,Urban,Bachelor,2L-5L,1,3,2765,More than 1,B,Silver,107388
Male,Urban,High School,2L-5L,1,5,3797,More than 1,A,Platinum,107916
Female,Urban,Bachelor,2L-5L,1,7,3962,More than 1,B,Gold,317580
Female,Urban,Bachelor,<=2L,0,6,6233,More than 1,A,Platinum,55488
Male,Urban,Bachelor,More than 10L,0,1,2280,More than 1,A,Platinum,53508
Male,Urban,High School,More than 10L,1,0,6621,1,A,Gold,34176
Female,Rural,High School,5L-10L,0,2,11551,More than 1,A,Silver,173292
Female,Urban,Bachelor,5L-10L,1,8,0,More than 1,B,Platinum,64860
Female,Rural,High School,5L-10L,1,5,0,1,B,Silver,33096
Male,Urban,High School,2L-5L,1,2,2822,1,A,Silver,33840
Female,Urban,Bachelor,More than 10L,0,7,13007,More than 1,A,Silver,104076
Male,Urban,High School,5L-10L,0,7,2083,More than 1,A,Platinum,47088
Male,Urban,High School,2L-5L,0,2,2284,More than 1,A,Platinum,248844
Female,Urban,High School,5L-10L,0,7,3659,More than 1,C,Platinum,132588
Male,Urban,High School,5L-10L,1,4,4823,1,A,Platinum,34068
Male,Urban,Others,2L-5L,0,3,5501,1,B,Platinum,60480
Female,Urban,Others,5L-10L,0,4,9705,1,B,Gold,62676
Female,Urban,High School,More than 10L,1,4,6521,More than 1,B,Silver,97860
Male,Rural,High School,5L-10L,1,3,4515,1,A,Platinum,43584
Male,Urban,High School,5L-10L,1,2,3792,More than 1,A,Platinum,62028
Female,Rural,Bachelor,More than 10L,1,7,0,More than 1,A,Silver,101760
Male,Urban,Bachelor,2L-5L,1,3,7021,1,A,Gold,65040
Male,Rural,High School,More than 10L,0,0,0,More than 1,C,Gold,59928
Female,Rural,Bachelor,More than 10L,1,4,3538,More than 1,A,Silver,64236
Male,Urban,High School,More than 10L,0,4,10952,More than 1,A,Platinum,176460
Female,Urban,High School,5L-10L,0,6,3500,More than 1,A,Gold,64152
Female,Urban,Bachelor,5L-10L,0,4,0,More than 1,B,Gold,155244
Female,Urban,High School,5L-10L,0,7,6340,More than 1,A,Gold,96300
Female,Urban,High School,5L-10L,1,6,11627,1,A,Platinum,51312
Male,Rural,Bachelor,5L-10L,1,6,0,1,A,Platinum,29892
Female,Urban,High School,5L-10L,0,2,3752,More than 1,A,Gold,62340
Female,Rural,Bachelor,2L-5L,1,8,2037,More than 1,B,Gold,117720
Male,Urban,Bachelor,2L-5L,1,2,6366,1,C,Gold,33276
Male,Rural,Bachelor,5L-10L,1,5,0,1,A,Gold,30000
Male,Urban,High School,5L-10L,1,8,4070,More than 1,A,Platinum,358872
Female,Rural,High School,5L-10L,1,0,0,1,B,Gold,31680
Male,Urban,High School,2L-5L,0,4,7089,More than 1,A,Platinum,51132
Male,Urban,Bachelor,5L-10L,0,7,6013,1,B,Silver,102708
Male,Urban,Bachelor,2L-5L,0,0,4305,More than 1,B,Gold,116220
Female,Rural,Bachelor,2L-5L,0,6,2575,More than 1,B,Platinum,73116
Male,Rural,High School,5L-10L,1,4,2442,More than 1,A,Silver,32016
Male,Urban,Bachelor,2L-5L,0,7,6256,More than 1,B,Platinum,58944
Female,Urban,Bachelor,5L-10L,1,2,13514,More than 1,A,Platinum,65412
Female,Urban,Others,5L-10L,1,8,0,More than 1,B,Silver,103308
Male,Urban,Bachelor,2L-5L,0,5,6598,More than 1,C,Silver,62040
Female,Urban,High School,<=2L,1,2,4244,More than 1,A,Platinum,129528
Male,Urban,Bachelor,5L-10L,0,7,2366,1,B,Silver,32604
Male,Rural,Bachelor,5L-10L,1,4,2616,1,B,Silver,32316
Male,Rural,Bachelor,5L-10L,1,2,3545,More than 1,C,Gold,64332
Female,Rural,High School,5L-10L,0,5,2557,More than 1,A,Platinum,67344
